match_id,team_id,team_name,opponent_id,opponent_name,starting_11_players,team_xg
122869,46,VfB Stuttgart,42,1. FSV Mainz 05,"['Alexander Nübel', 'Serhou Guirassy', 'Pascal Stenzel', 'Waldemar Anton', 'Dan-Axel Zagadou', 'Atakan Karazor', 'Angelo Stiller', 'Chris Führich', 'Silas', 'Enzo Millot', 'Hiroki Ito']",1.48745
122870,27,1. FC Köln,31,TSG 1899 Hoffenheim,"['Florian Kainz', 'Benno Schmitz', 'Davie Selke', 'Leart Paçarada', 'Timo Hübers', 'Marvin Schwäbe', 'Jeff Chabot', 'Dejan Ljubicic', 'Linton Maina', 'Rasmus Carstensen', 'Denis Huseinbasic']",1.37721
122870,31,TSG 1899 Hoffenheim,27,1. FC Köln,"['Andrej Kramaric', 'Pavel Kaderabek', 'Kevin Vogt', 'John Brooks', 'Oliver Baumann', 'Florian Grillitsch', 'Ozan Kabak', 'Wout Weghorst', 'Grischa Prömel', 'Robert Skov', 'Maximilian Beier']",1.03306
122871,35,Eintracht Frankfurt,416,VfL Bochum,"['Mario Götze', 'Kevin Trapp', 'Ellyes Skhiri', 'Aurélio Buta', 'Robin Koch', 'Junior Dina Ebimbe', 'Jessic Ngankam', 'Tuta', 'Niels Nkounkou', 'Willian Pacho', 'Hugo Larsson']",1.3524900000000002
122871,416,VfL Bochum,35,Eintracht Frankfurt,"['Matus Bero', 'Felix Passlack', 'Kevin Stöger', 'Ivan Ordets', 'Bernardo', 'Manuel Riemann', 'Anthony Losilla', 'Takuma Asano', 'Maximilian Wittek', 'Erhan Masovic', 'Philipp Hofmann']",2.2638700000000003
122872,38,SV Werder Bremen,432,1. FC Heidenheim 1846,"['Mitchell Weiser', 'Anthony Jung', 'Niklas Stark', 'Romano Schmid', 'Marco Friedl', 'Dawid Kownacki', 'Amos Pieper', 'Jiri Pavlenka', 'Jens Stage', 'Christian Groß', 'Nick Woltemade']",2.9742999999999995
122872,432,1. FC Heidenheim 1846,38,SV Werder Bremen,"['Jonas Föhrenbach', 'Niklas Beste', 'Norman Theuerkauf', 'Kevin Müller', 'Tim Kleindienst', 'Lennard Maloney', 'Patrick Mainka', 'Omar Traoré', 'Eren Dinkçi', 'Tim Siersleben', 'Marvin Pieringer']",2.2596600000000002
122873,32,Borussia Mönchengladbach,36,SV Darmstadt 98,"['Julian Weigl', 'Moritz Nicolas', 'Marvin Friedrich', 'Alassane Pléa', 'Maximilian Wöber', 'Ko Itakura', 'Franck Honorat', 'Rocco Reitz', 'Jordan', 'Nathan Ngoumou', 'Joe Scally']",3.8487499999999994
122873,36,SV Darmstadt 98,32,Borussia Mönchengladbach,"['Fabian Holland', 'Tobias Kempe', 'Christoph Klarer', 'Emir Karic', 'Marcel Schuhen', 'Tim Skarke', 'Marvin Mehlem', 'Matthias Bader', 'Klaus Gjasula', 'Luca Pfeiffer', 'Matej Maglica']",1.4084299999999998
122874,36,SV Darmstadt 98,46,VfB Stuttgart,"['Fabian Holland', 'Christoph Klarer', 'Emir Karic', 'Marcel Schuhen', 'Tim Skarke', 'Marvin Mehlem', 'Matthias Bader', 'Klaus Gjasula', 'Mathias Honsak', 'Luca Pfeiffer', 'Clemens Riedel']",0.20405999999999996
122874,46,VfB Stuttgart,36,SV Darmstadt 98,"['Alexander Nübel', 'Serhou Guirassy', 'Pascal Stenzel', 'Waldemar Anton', 'Dan-Axel Zagadou', 'Atakan Karazor', 'Angelo Stiller', 'Chris Führich', 'Silas', 'Enzo Millot', 'Hiroki Ito']",2.79151
122875,33,FC Bayern München,416,VfL Bochum,"['Joshua Kimmich', 'Leroy Sané', 'Harry Kane', 'Kingsley Coman', 'Eric-Maxim Choupo-Moting', 'Sven Ulreich', 'Konrad Laimer', 'Matthijs de Ligt', 'Noussair Mazraoui', 'Alphonso Davies', 'Min-jae Kim']",3.80727
122875,416,VfL Bochum,33,FC Bayern München,"['Matus Bero', 'Felix Passlack', 'Kevin Stöger', 'Ivan Ordets', 'Bernardo', 'Manuel Riemann', 'Anthony Losilla', 'Takuma Asano', 'Maximilian Wittek', 'Erhan Masovic', 'Christopher Antwi-Adjei']",0.14558
122876,29,Borussia Dortmund,30,VfL Wolfsburg,"['Mats Hummels', 'Marco Reus', 'Julian Brandt', 'Salih Özcan', 'Gregor Kobel', 'Ramy Bensebaini', 'Niclas Füllkrug', 'Felix Nmecha', 'Julian Ryerson', 'Nico Schlotterbeck', 'Jamie Gittens']",2.03801
